candidate_tokens,k,query_len,chunk_tokens,trials,device,dtype,n_layers,n_query_heads,n_kv_heads,head_dim,key_bytes_per_token,streamed_key_bytes,offloaded_kv_bytes,selected_kv_bytes,p50_total_ms,p95_total_ms,p99_total_ms,mean_total_ms
32768,96,64,16384,20,cuda,bfloat16,28,28,4,128,28672,939524096,1879048192,5505024,36.95684007834643,36.9808615418151,36.994564295746386,36.95637920172885
32768,5000,64,16384,20,cuda,bfloat16,28,28,4,128,28672,939524096,1879048192,286720000,36.99025313835591,37.037909764330834,37.04626593505964,36.99495863402262
100000,96,64,16384,20,cuda,bfloat16,28,28,4,128,28672,2867200000,5734400000,5505024,113.99811843875796,116.95160901872441,117.199779485818,114.62195051135495
100000,5000,64,16384,20,cuda,bfloat16,28,28,4,128,28672,2867200000,5734400000,286720000,119.44797309115529,120.35725384484977,120.49712357576936,118.74563209712505
250000,96,64,16384,20,cuda,bfloat16,28,28,4,128,28672,7168000000,14336000000,5505024,322.9852800723165,364.5898230955936,369.4437797483988,327.98543693497777
250000,5000,64,16384,20,cuda,bfloat16,28,28,4,128,28672,7168000000,14336000000,286720000,327.507292968221,344.6015079622157,358.3833904401399,330.9478366863914
500000,96,64,16384,20,cuda,bfloat16,28,28,4,128,28672,14336000000,28672000000,5505024,588.4987150784582,677.4804872926325,697.9724502470344,599.889998184517
500000,5000,64,16384,20,cuda,bfloat16,28,28,4,128,28672,14336000000,28672000000,286720000,669.5547874551266,736.0822909628041,743.9018245250918,658.7048118584789
1000000,96,64,16384,20,cuda,bfloat16,28,28,4,128,28672,28672000000,57344000000,5505024,1161.921262042597,1183.0600306624547,1185.5356637807563,1158.5192969650961
1000000,5000,64,16384,20,cuda,bfloat16,28,28,4,128,28672,28672000000,57344000000,286720000,1130.2451640367508,1156.8637134390883,1169.0807034797035,1129.4587256968953
