artifact,task,stage,query_scoring_mode,oracle_mode,wrong_query_mode,wrong_query_donor_offset,base_context_budget,recency_window,num_samples,dataset_seed_offset,k,condition_a,condition_b,b_match,idlekv,gold_k,idlekv_lift,gold_headroom,gold_normalized_recovery,conditions,p50_total_ms,p95_total_ms,p99_total_ms,p50_query_ms,p50_score_ms,p50_select_ms,p50_transfer_ms,p50_inject_ms
phases/phase6_repair/results/full/clean_suite_b14336_r128_qexact_q_ogold_spans_n24_k16-48-96-128_ca-b-bmatch-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,14336,128,24,0,16,1.0,0.125,0.125,0.111111,0.451389,-0.013888999999999999,0.34027799999999997,-0.04255351742858981,A B B_match IdleKV Oracle-K,6287.4387965000005,6622.874804950001,6925.417880770003,68.838,6199.2970000000005,15.026,0.49085049999999997,3.5609205
phases/phase6_repair/results/full/clean_suite_b14336_r128_qexact_q_ogold_spans_n24_k16-48-96-128_ca-b-bmatch-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,14336,128,24,0,48,1.0,0.125,0.131944,0.430556,1.0,0.298612,0.5694440000000001,0.3440008478715659,A B B_match IdleKV Oracle-K,6291.726253000001,6620.719019299999,6923.069542730003,68.838,6199.2970000000005,12.479,0.7688165,3.5979395
phases/phase6_repair/results/full/clean_suite_b14336_r128_qexact_q_ogold_spans_n24_k16-48-96-128_ca-b-bmatch-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,14336,128,24,0,96,1.0,0.125,0.145833,0.770833,1.0,0.625,0.229167,0.7317070315289633,A B B_match IdleKV Oracle-K,6285.2753465000005,6620.5562240499985,6923.631960380002,68.838,6199.2970000000005,12.227500000000001,0.9204915,3.669655
phases/phase6_repair/results/full/clean_suite_b14336_r128_qexact_q_ogold_spans_n24_k16-48-96-128_ca-b-bmatch-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,14336,128,24,0,128,1.0,0.125,0.131944,0.993056,1.0,0.8611120000000001,0.00694399999999995,0.9920005160957359,A B B_match IdleKV Oracle-K,6285.343191,6620.67705845,6924.147626510003,68.838,6199.2970000000005,12.099,1.0734895,3.681166
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n24_k16-48-96-128_ca-b-bmatch-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,16,1.0,0.208333,0.201389,0.215278,0.590278,0.013888999999999985,0.375,0.035714561224411044,A B B_match IdleKV Oracle-K,6575.3014004999995,6920.94163035,7046.95824253,73.4505,6484.3565,13.26,0.4963805,3.8738335
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n24_k16-48-96-128_ca-b-bmatch-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,48,1.0,0.208333,0.215278,0.541667,1.0,0.32638900000000004,0.458333,0.41592946291807803,A B B_match IdleKV Oracle-K,6573.462733,6918.973868899999,7045.447840209999,73.4505,6484.3565,11.182,0.7717689999999999,3.8798945
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n24_k16-48-96-128_ca-b-bmatch-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,96,1.0,0.208333,0.208333,0.909722,1.0,0.701389,0.09027799999999997,0.8859646795938192,A B B_match IdleKV Oracle-K,6573.446371499999,6919.06966435,7046.02650582,73.4505,6484.3565,10.9785,0.890409,3.9486850000000002
phases/phase6_repair/results/full/clean_suite_b16384_r128_qexact_q_ogold_spans_n24_k16-48-96-128_ca-b-bmatch-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,16384,128,24,0,128,1.0,0.208333,0.208333,1.0,1.0,0.791667,0.0,1.0,A B B_match IdleKV Oracle-K,6573.4149005,6919.16976775,7045.38500815,73.4505,6484.3565,10.8515,1.0472255,3.979965
phases/phase6_repair/results/full/clean_suite_b18432_r128_qexact_q_ogold_spans_n24_k16-48-96-128_ca-b-bmatch-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,18432,128,24,0,16,1.0,0.333333,0.319444,0.381944,0.652778,0.0625,0.27083399999999996,0.18749962500075001,A B B_match IdleKV Oracle-K,6527.658405,6742.2947862500005,6872.096033540003,78.2145,6432.6675,11.475999999999999,0.48851449999999996,4.2125565
phases/phase6_repair/results/full/clean_suite_b18432_r128_qexact_q_ogold_spans_n24_k16-48-96-128_ca-b-bmatch-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,18432,128,24,0,48,1.0,0.333333,0.326389,0.680556,1.0,0.35416700000000007,0.31944399999999995,0.5257737774472212,A B B_match IdleKV Oracle-K,6526.0647755,6740.8262987,6871.006022970003,78.2145,6432.6675,9.642,0.779901,4.199039
phases/phase6_repair/results/full/clean_suite_b18432_r128_qexact_q_ogold_spans_n24_k16-48-96-128_ca-b-bmatch-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,18432,128,24,0,96,1.0,0.333333,0.340278,1.0,1.0,0.6597219999999999,0.0,1.0,A B B_match IdleKV Oracle-K,6526.1210255000005,6740.664907300001,6870.7111987100025,78.2145,6432.6675,9.498999999999999,0.8982985,4.2625435
phases/phase6_repair/results/full/clean_suite_b18432_r128_qexact_q_ogold_spans_n24_k16-48-96-128_ca-b-bmatch-idlekv-oraclek.json,clean_suite,full,exact_q,gold_spans,phantom_key,100000,18432,128,24,0,128,1.0,0.333333,0.347222,1.0,1.0,0.6527780000000001,0.0,1.0,A B B_match IdleKV Oracle-K,6529.4377855,6741.0047065,6871.019982630002,78.2145,6432.6675,9.495000000000001,1.0439794999999998,4.2975075
